,위도,경도,시간,거리
310,36.8988446,126.6304863,11 mins,1.8 km
311,36.8994561,126.6217701,30 mins,3.6 km
312,36.8978148,126.6256569,15 mins,2.4 km
313,36.9039077,126.6946255,23 mins,5.3 km
314,36.8994561,126.6217701,30 mins,3.6 km
315,36.9217264,126.6604652,32 mins,4.4 km
316,36.900981,126.6404238,4 mins,0.6 km
317,36.9015598,126.6406533,3 mins,0.6 km
318,36.8082121,126.7751438,1 hour 28 mins,20.3 km
319,36.8096248,126.7720397,1 hour 30 mins,20.4 km
320,36.8095101,126.7764284,1 hour 26 mins,20.2 km
321,36.8961281,126.6336921,7 mins,1.6 km
322,36.898141,126.621738,30 mins,3.6 km
323,36.9015653,126.6412559,4 mins,0.6 km
324,36.8922046,126.6399458,19 mins,2.7 km
325,36.96769949999999,126.5934776,1 hour 0 mins,13.0 km
326,36.8399373,126.6552229,45 mins,10.5 km
327,36.9359392,126.7479664,49 mins,12.8 km
328,36.87847617773701,126.6357924941472,24 mins,4.7 km
329,36.8896390870108,126.645978347909,16 mins,1.6 km
330,36.879328291826944,126.63072410043225,23 mins,4.4 km
331,36.96577258876894,126.69068521031414,1 hour 8 mins,12.8 km
332,36.88596141691219,126.609083538175,36 mins,5.2 km
333,36.913506370272586,126.64208410798096,25 mins,2.4 km
334,36.8897540158663,126.636294228922,21 mins,3.0 km
335,36.9008603619706,126.621696092957,32 mins,3.8 km
336,36.88872201161595,126.65031949822207,18 mins,1.7 km
337,36.8977414328004,126.696693108763,35 mins,6.0 km
338,36.9791632339795,126.593962734474,1 hour 4 mins,14.3 km
339,36.9058204049022,126.690314753038,27 mins,5.0 km
340,36.82299002578515,126.73527889995084,1 hour 22 mins,16.6 km
341,36.9299622746006,126.744815909886,49 mins,13.4 km
342,36.886982456278,126.768866552139,1 hour 3 mins,14.5 km
343,36.9246761658723,126.651746843916,32 mins,3.8 km
344,36.8078739935407,126.777056560554,1 hour 29 mins,20.4 km
345,36.8846150943,126.634245612421,24 mins,4.2 km
346,36.8420986354517,126.710442795236,1 hour 1 min,13.9 km
347,36.88169530131431,126.64335545560073,39 mins,5.0 km
348,36.91960798663228,126.64429562829832,29 mins,2.9 km
349,36.9107891815312,126.62358611227,39 mins,7.3 km
350,36.9374082139541,126.748728905594,50 mins,12.8 km
351,36.93744192195422,126.68432278038092,45 mins,9.9 km
352,36.8069196715716,126.762598866593,1 hour 37 mins,19.8 km
353,36.88028060848832,126.75649208413304,56 mins,12.4 km
354,36.88289572591279,126.61733710059636,39 mins,4.2 km
355,36.8055052719166,126.77482223165,1 hour 33 mins,20.6 km
356,36.8964256294447,126.66189625503,27 mins,3.4 km
357,36.8998552259411,126.691376684705,26 mins,5.0 km
358,36.9037860971966,126.619123423137,36 mins,4.6 km
359,36.9022603762952,126.675859714393,18 mins,3.6 km
360,36.88119812964212,126.77683450450462,1 hour 4 mins,15.1 km
361,36.87911073035544,126.77654456893328,1 hour 7 mins,15.4 km
362,36.89145522350254,126.64311036714516,16 mins,2.3 km
363,36.9073106980468,126.693746792,28 mins,6.1 km
364,36.9040434812422,126.680793613129,20 mins,4.0 km
365,36.8951304033505,126.712042126971,41 mins,7.8 km
366,36.8828965923154,126.751747844751,55 mins,11.8 km
367,36.9417766660084,126.784480285401,1 hour 18 mins,17.0 km
368,36.80326653936411,126.77749573197974,1 hour 38 mins,20.9 km
369,36.9362154865112,126.608347706047,48 mins,9.0 km
370,36.88403783473812,126.7944601806193,1 hour 15 mins,18.2 km
371,36.8916570915091,126.635107255733,22 mins,3.0 km
372,36.9009839526314,126.644201450035,4 mins,0.4 km
